542.00,2.48,
542.00,2.48,
542.00,2.49,
544.00,2.50,
543.00,2.50,
543.00,2.51,
545.00,2.51,
543.00,2.52,
543.00,2.53,
544.00,2.53,
544.00,2.54,
544.00,2.54,
544.00,2.55,
545.00,2.56,
544.00,2.56,
544.00,2.57,
544.00,2.57,
545.00,2.58,
544.00,2.59,
544.00,2.59,
545.00,2.60,
545.00,2.60,
544.00,2.61,
545.00,2.62,
545.00,2.62,
544.00,2.63,
544.00,2.63,
545.00,2.64,
545.00,2.65,
544.00,2.65,
543.00,2.66,
544.00,2.66,
544.00,2.67,
544.00,2.68,
544.00,2.68,
544.00,2.69,
543.00,2.69,
543.00,2.70,
543.00,2.71,
543.00,2.71,
543.00,2.72,
542.00,2.72,
543.00,2.73,
543.00,2.74,
542.00,2.74,
543.00,2.75,
544.00,2.75,
543.00,2.76,
543.00,2.77,
544.00,2.77,
544.00,2.78,
543.00,2.78,
544.00,2.79,
545.00,2.80,
543.00,2.80,
543.00,2.81,
544.00,2.81,
544.00,2.82,
544.00,2.83,
544.00,2.83,
545.00,2.84,
544.00,2.84,
544.00,2.85,
545.00,2.85,
544.00,2.86,
544.00,2.87,
544.00,2.87,
545.00,2.88,
544.00,2.89,
544.00,2.89,
545.00,2.90,
545.00,2.90,
544.00,2.91,
545.00,2.92,
544.00,2.92,
544.00,2.93,
544.00,2.93,
545.00,2.94,
545.00,2.95,
544.00,2.95,
544.00,2.96,
544.00,2.96,
544.00,2.97,
544.00,2.97,
544.00,2.98,
544.00,2.99,
544.00,2.99,
543.00,3.00,
544.00,3.01,
544.00,3.01,
544.00,3.02,
544.00,3.02,
544.00,3.03,
544.00,3.04,
544.00,3.04,
544.00,3.05,
544.00,3.05,
543.00,3.06,
543.00,3.06,
544.00,3.07,
543.00,3.08,
543.00,3.08,
544.00,3.09,
544.00,3.09,
543.00,3.10,
543.00,3.11,
544.00,3.11,
544.00,3.12,
543.00,3.13,
544.00,3.13,
544.00,3.14,
543.00,3.14,
543.00,3.15,
544.00,3.15,
544.00,3.16,
543.00,3.17,
543.00,3.17,
544.00,3.18,
543.00,3.18,
543.00,3.19,
544.00,3.20,
543.00,3.20,
542.00,3.21,
543.00,3.21,
544.00,3.22,
543.00,3.23,
543.00,3.23,
543.00,3.24,
543.00,3.25,
543.00,3.25,
542.00,3.26,
543.00,3.26,
543.00,3.27,
